    Nr,Imię i Nazwisko,typ,stage,Garrick Ohlsson,John Allison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała,średnia ocena
7,Andrzej Wierciński,korekta,1,17.0,18.0,21.0,22.06,20.0,18.0,21.0,16.06,16.06,16.06,21.0,20.0,21.0,17.0,19.0,21.0,0.0,19.02
8,Krzysztof Wierciński,punkty,1,18.0,12.0,19.0,17.0,22.0,19.0,21.0,17.0,16.0,20.0,19.0,18.0,22.0,17.0,18.0,18.0,18.0,18.294117647058822
8,Krzysztof Wierciński,korekta,1,18.0,15.29,19.0,17.0,21.29,19.0,21.0,17.0,16.0,20.0,19.0,18.0,21.29,17.0,18.0,18.0,18.0,18.4
9,Victoria Wong,punkty,1,18.0,18.0,20.0,17.0,22.0,17.0,18.0,17.0,15.0,,18.0,19.0,20.0,20.0,18.0,19.0,17.0,18.3125
9,Victoria Wong,korekta,1,18.0,18.0,20.0,17.0,21.31,17.0,18.0,17.0,15.31,0.0,18.0,19.0,20.0,20.0,18.0,19.0,17.0,18.29
10,Maiqi Wu,punkty,1,20.0,15.0,19.0,19.0,21.0,19.0,17.0,18.0,19.0,19.0,18.0,17.0,19.0,,21.0,17.0,20.0,18.625
10,Maiqi Wu,korekta,1,20.0,15.63,19.0,19.0,21.0,19.0,17.0,18.0,19.0,19.0,18.0,17.0,19.0,0.0,21.0,17.0,20.0,18.66
11,Yifan Wu,punkty,1,20.0,20.0,19.0,24.0,23.0,20.0,23.0,24.0,19.0,20.0,24.0,20.0,21.0,22.0,21.0,22.0,23.0,21.470588235294116
11,Yifan Wu,korekta,1,20.0,20.0,19.0,24.0,23.0,20.0,23.0,24.0,19.0,20.0,24.0,20.0,21.0,22.0,21.0,22.0,23.0,21.47
12,Miki Yamagata,punkty,1,20.0,13.0,18.0,22.0,21.0,17.0,22.0,20.0,19.0,23.0,23.0,22.0,19.0,17.0,18.0,18.0,19.0,19.470588235294116
12,Miki Yamagata,korekta,1,20.0,16.47,18.0,22.0,21.0,17.0,22.0,20.0,19.0,22.47,22.47,22.0,19.0,17.0,18.0,18.0,19.0,19.61
13,Ryota Yamazaki,punkty,1,19.0,13.0,20.0,16.0,21.0,17.0,21.0,20.0,16.0,16.0,21.0,16.0,18.0,16.0,17.0,16.0,15.0,17.529411764705884
13,Ryota Yamazaki,korekta,1,19.0,14.53,20.0,16.0,20.53,17.0,20.53,20.0,16.0,16.0,20.53,16.0,18.0,16.0,17.0,16.0,15.0,17.54
14,Fanze Yang,punkty,1,19.0,10.0,20.0,18.0,21.0,21.0,22.0,20.0,16.0,19.0,18.0,23.0,19.0,21.0,19.0,16.0,16.0,18.705882352941178
14,Fanze Yang,korekta,1,19.0,15.71,20.0,18.0,21.0,21.0,21.71,20.0,16.0,19.0,18.0,21.71,19.0,21.0,19.0,16.0,16.0,18.95
15,William Yang,punkty,1,19.0,21.0,18.0,17.0,20.0,22.0,24.0,22.0,21.0,20.0,18.0,,18.0,21.0,20.0,23.0,20.0,20.25
15,William Yang,korekta,1,19.0,21.0,18.0,17.25,20.0,22.0,23.25,22.0,21.0,20.0,18.0,0.0,18.0,21.0,20.0,23.0,20.0,20.22
16,Yuanfan Yang,punkty,1,17.0,22.0,20.0,18.0,20.0,17.0,17.0,19.0,20.0,17.0,18.0,16.0,20.0,17.0,19.0,16.0,20.0,18.41176470588235
16,Yuanfan Yang,korekta,1,17.0,21.41,20.0,18.0,20.0,17.0,17.0,19.0,20.0,17.0,18.0,16.0,20.0,17.0,19.0,16.0,20.0,18.38
17,Yichen Yu,punkty,1,17.0,22.0,18.0,17.0,21.0,16.0,17.0,20.0,22.0,22.0,20.0,16.0,21.0,18.0,21.0,16.0,16.0,18.823529411764707
17,Yichen Yu,korekta,1,17.0,21.82,18.0,17.0,21.0,16.0,17.0,20.0,21.82,21.82,20.0,16.0,21.0,18.0,21.0,16.0,16.0,18.79
18,Yuewen Yu,punkty,1,23.0,17.0,20.0,16.0,21.0,16.0,17.0,15.0,16.0,16.0,19.0,19.0,19.0,21.0,24.0,23.0,16.0,18.705882352941178
18,Yuewen Yu,korekta,1,21.71,17.0,20.0,16.0,21.0,16.0,17.0,15.71,16.0,16.0,19.0,19.0,19.0,21.0,21.71,21.71,16.0,18.46
19,Andrey Zenin,punkty,1,21.0,22.0,21.0,19.0,22.0,15.0,19.0,14.0,12.0,15.0,18.0,18.0,21.0,15.0,19.0,16.0,15.0,17.764705882352942
19,Andrey Zenin,korekta,1,20.76,20.76,20.76,19.0,20.76,15.0,19.0,14.76,14.76,15.0,18.0,18.0,20.76,15.0,19.0,16.0,15.0,17.78
20,Jacky Zhang,punkty,1,15.0,17.0,21.0,25.0,24.0,17.0,23.0,20.0,16.0,19.0,20.0,24.0,23.0,24.0,20.0,20.0,22.0,20.58823529411765
20,Jacky Zhang,korekta,1,17.59,17.59,21.0,23.59,23.59,17.59,23.0,20.0,17.59,19.0,20.0,23.59,23.0,23.59,20.0,20.0,22.0,20.75
21,Yonghuan Zhong,punkty,1,16.0,20.0,18.0,15.0,21.0,18.0,17.0,16.0,16.0,16.0,21.0,16.0,21.0,15.0,17.0,16.0,,17.4375
21,Yonghuan Zhong,korekta,1,16.0,20.0,18.0,15.0,20.44,18.0,17.0,16.0,16.0,16.0,20.44,16.0,20.44,15.0,17.0,16.0,0.0,17.33
22,Hanyuan Zhu,punkty,1,15.0,16.0,18.0,15.0,22.0,,24.0,17.0,16.0,23.0,22.0,20.0,18.0,21.0,21.0,16.0,16.0,18.75
22,Hanyuan Zhu,korekta,1,15.75,16.0,18.0,15.75,21.75,0.0,21.75,17.0,16.0,21.75,21.75,20.0,18.0,21.0,21.0,16.0,16.0,18.59
23,Jingting Zhu,punkty,1,15.0,18.0,19.0,17.0,20.0,16.0,17.0,18.0,21.0,18.0,20.0,,19.0,20.0,20.0,19.0,16.0,18.3125
23,Jingting Zhu,korekta,1,15.31,18.0,19.0,17.0,20.0,16.0,17.0,18.0,21.0,18.0,20.0,0.0,19.0,20.0,20.0,19.0,16.0,18.33
24,Piotr Alexewicz,punkty,1,15.0,22.0,21.0,19.0,21.0,21.0,24.0,24.0,18.0,18.0,24.0,20.0,23.0,22.0,19.0,24.0,20.0,20.88235294117647
24,Piotr Alexewicz,korekta,1,17.88,22.0,21.0,19.0,21.0,21.0,23.88,23.88,18.0,18.0,23.88,20.0,23.0,22.0,19.0,23.88,20.0,21.02
25,Jonas Aumiller,punkty,1,15.0,23.0,20.0,18.0,23.0,22.0,21.0,21.0,19.0,17.0,23.0,22.0,22.0,22.0,20.0,20.0,17.0,20.294117647058822
25,Jonas Aumiller,korekta,1,17.29,23.0,20.0,18.0,23.0,22.0,21.0,21.0,19.0,17.29,23.0,22.0,22.0,22.0,20.0,20.0,17.29,20.46
26,Yanyan Bao,punkty,1,22.0,13.0,22.0,19.0,23.0,22.0,21.0,16.0,16.0,21.0,18.0,23.0,23.0,22.0,19.0,17.0,23.0,20.0
26,Yanyan Bao,korekta,1,22.0,17.0,22.0,19.0,23.0,22.0,21.0,17.0,17.0,21.0,18.0,23.0,23.0,22.0,19.0,17.0,23.0,20.35
27,Michał Basista,punkty,1,22.0,15.0,21.0,17.0,21.0,17.0,17.0,17.0,15.0,18.0,18.0,19.0,18.0,16.0,18.0,16.0,20.0,17.941176470588236
27,Michał Basista,korekta,1,20.94,15.0,20.94,17.0,20.94,17.0,17.0,17.0,15.0,18.0,18.0,19.0,18.0,16.0,18.0,16.0,20.0,17.87
28,Kai-Min Chang,punkty,1,22.0,17.0,20.0,18.0,23.0,,19.0,17.0,17.0,21.0,20.0,19.0,17.0,21.0,24.0,19.0,21.0,19.6875
28,Kai-Min Chang,korekta,1,22.0,17.0,20.0,18.0,22.69,0.0,19.0,17.0,17.0,21.0,20.0,19.0,17.0,21.0,22.69,19.0,21.0,19.59
29,Kevin Chen,punkty,1,20.0,23.0,22.0,25.0,24.0,18.0,25.0,23.0,24.0,24.0,24.0,24.0,22.0,22.0,21.0,22.0,25.0,22.823529411764707
29,Kevin Chen,korekta,1,20.0,23.0,22.0,25.0,24.0,19.82,25.0,23.0,24.0,24.0,24.0,24.0,22.0,22.0,21.0,22.0,25.0,22.93
30,Xuehong Chen,punkty,1,19.0,18.0,21.0,19.0,21.0,17.0,21.0,22.0,19.0,24.0,19.0,23.0,23.0,20.0,21.0,19.0,21.0,20.41176470588235
30,Xuehong Chen,korekta,1,19.0,18.0,21.0,19.0,21.0,17.41,21.0,22.0,19.0,23.41,19.0,23.0,23.0,20.0,21.0,19.0,21.0,20.4
31,Zixi Chen,punkty,1,23.0,18.0,23.0,18.0,21.0,18.0,20.0,21.0,17.0,20.0,21.0,19.0,20.0,21.0,23.0,22.0,19.0,20.235294117647058
31,Zixi Chen,korekta,1,23.0,18.0,23.0,18.0,21.0,18.0,20.0,21.0,17.24,20.0,21.0,19.0,20.0,21.0,23.0,22.0,19.0,20.25
32,Hoi Leong Cheong,punkty,1,22.0,13.0,19.0,17.0,22.0,20.0,22.0,17.0,17.0,22.0,18.0,,19.0,22.0,22.0,18.0,17.0,19.1875
32,Hoi Leong Cheong,korekta,1,22.0,16.19,19.0,17.0,22.0,20.0,22.0,17.0,17.0,22.0,18.0,0.0,19.0,22.0,22.0,18.0,17.0,19.39
33,Diana Cooper,punkty,1,22.0,17.0,20.0,19.0,20.0,22.0,21.0,15.0,16.0,18.0,19.0,16.0,19.0,16.0,19.0,20.0,19.0,18.705882352941178
33,Diana Cooper,korekta,1,21.71,17.0,20.0,19.0,20.0,21.71,21.0,15.71,16.0,18.0,19.0,16.0,19.0,16.0,19.0,20.0,19.0,18.71
34,Athena Deng,punkty,1,23.0,13.0,20.0,17.0,19.0,,23.0,16.0,16.0,17.0,17.0,18.0,18.0,17.0,18.0,18.0,17.0,17.9375
34,Athena Deng,korekta,1,20.94,14.94,20.0,17.0,19.0,0.0,20.94,16.0,16.0,17.0,17.0,18.0,18.0,17.0,18.0,18.0,17.0,17.8
35,Yubo Deng,punkty,1,19.0,18.0,20.0,18.0,22.0,,17.0,23.0,16.0,19.0,19.0,20.0,22.0,22.0,23.0,21.0,15.0,19.625
35,Yubo Deng,korekta,1,19.0,18.0,20.0,18.0,22.0,0.0,17.0,22.63,16.63,19.0,19.0,20.0,22.0,22.0,22.63,21.0,16.63,19.72
36,Mateusz Dubiel,punkty,1,17.0,20.0,20.0,21.0,21.0,18.0,17.0,21.0,15.0,19.0,19.0,16.0,21.0,20.0,20.0,18.0,21.0,19.058823529411764
36,Mateusz Dubiel,korekta,1,17.0,20.0,20.0,21.0,21.0,18.0,17.0,21.0,16.06,19.0,19.0,16.06,21.0,20.0,20.0,18.0,21.0,19.12
37,Yu-Ang Fan,punkty,1,12.0,15.0,19.0,19.0,22.0,21.0,16.0,16.0,15.0,21.0,18.0,24.0,19.0,17.0,19.0,15.0,15.0,17.823529411764707
37,Yu-Ang Fan,korekta,1,14.82,15.0,19.0,19.0,20.82,20.82,16.0,16.0,15.0,20.82,18.0,20.82,19.0,17.0,19.0,15.0,15.0,17.71
38,Alberto Ferro,punkty,1,17.0,15.0,21.0,22.0,21.0,17.0,18.0,22.0,18.0,15.0,23.0,19.0,18.0,17.0,20.0,19.0,20.0,18.941176470588236
38,Alberto Ferro,korekta,1,17.0,15.94,21.0,21.94,21.0,17.0,18.0,21.94,18.0,15.94,21.94,19.0,18.0,17.0,20.0,19.0,20.0,18.98
39,Yang (Jack) Gao,punkty,1,24.0,17.0,20.0,21.0,21.0,21.0,23.0,23.0,15.0,20.0,19.0,23.0,18.0,19.0,24.0,22.0,16.0,20.352941176470587
39,Yang (Jack) Gao,korekta,1,23.35,17.35,20.0,21.0,21.0,21.0,23.0,23.0,17.35,20.0,19.0,23.0,18.0,19.0,23.35,22.0,17.35,20.51
40,Shuguang Gong,punkty,1,18.0,13.0,19.0,17.0,21.0,18.0,21.0,18.0,19.0,,19.0,21.0,18.0,16.0,23.0,19.0,21.0,18.8125
40,Shuguang Gong,korekta,1,18.0,15.81,19.0,17.0,21.0,18.0,21.0,18.0,19.0,0.0,19.0,21.0,18.0,16.0,21.81,19.0,21.0,18.91
41,Eric Guo,punkty,1,18.0,22.0,24.0,24.0,22.0,22.0,22.0,25.0,18.0,22.0,25.0,22.0,24.0,23.0,23.0,25.0,23.0,22.58823529411765
41,Eric Guo,korekta,1,19.59,22.0,24.0,24.0,22.0,22.0,22.0,25.0,19.59,22.0,25.0,22.0,24.0,23.0,23.0,25.0,23.0,22.78
42,Wei-Ting Hsieh,punkty,1,14.0,21.0,24.0,21.0,21.0,17.0,22.0,17.0,14.0,19.0,21.0,18.0,17.0,15.0,19.0,21.0,20.0,18.88235294117647
42,Wei-Ting Hsieh,korekta,1,15.88,21.0,21.88,21.0,21.0,17.0,21.88,17.0,15.88,19.0,21.0,18.0,17.0,15.88,19.0,21.0,20.0,19.02
43,Xiaoyu Hu,punkty,1,24.0,13.0,25.0,17.0,21.0,24.0,23.0,16.0,15.0,20.0,19.0,16.0,19.0,24.0,24.0,18.0,16.0,19.647058823529413
43,Xiaoyu Hu,korekta,1,22.65,16.65,22.65,17.0,21.0,22.65,22.65,16.65,16.65,20.0,19.0,16.65,19.0,22.65,22.65,18.0,16.65,19.6
44,Hasan Ignatov,punkty,1,18.0,16.0,22.0,16.0,22.0,17.0,21.0,21.0,15.0,16.0,19.0,16.0,18.0,20.0,19.0,20.0,19.0,18.529411764705884
44,Hasan Ignatov,korekta,1,18.0,16.0,21.53,16.0,21.53,17.0,21.0,21.0,15.53,16.0,19.0,16.0,18.0,20.0,19.0,20.0,19.0,18.51
45,Zihan Jin,punkty,1,22.0,21.0,23.0,20.0,21.0,20.0,20.0,21.0,21.0,23.0,19.0,22.0,18.0,21.0,18.0,19.0,20.0,20.529411764705884
45,Zihan Jin,korekta,1,22.0,21.0,23.0,20.0,21.0,20.0,20.0,21.0,21.0,23.0,19.0,22.0,18.0,21.0,18.0,19.0,20.0,20.53
46,Adam Kałduński,punkty,1,22.0,15.0,24.0,23.0,23.0,21.0,25.0,21.0,15.0,21.0,23.0,20.0,23.0,16.0,,23.0,21.0,21.0
46,Adam Kałduński,korekta,1,22.0,18.0,24.0,23.0,23.0,21.0,24.0,21.0,18.0,21.0,23.0,20.0,23.0,18.0,0.0,23.0,21.0,21.44
47,David Khrikuli,punkty,1,18.0,21.0,23.0,23.0,23.0,24.0,22.0,19.0,15.0,19.0,23.0,19.0,18.0,15.0,20.0,23.0,20.0,20.294117647058822
47,David Khrikuli,korekta,1,18.0,21.0,23.0,23.0,23.0,23.29,22.0,19.0,17.29,19.0,23.0,19.0,18.0,17.29,20.0,23.0,20.0,20.52
48,Antoni Kłeczek,punkty,1,20.0,14.0,18.0,16.0,21.0,16.0,18.0,20.0,20.0,15.0,19.0,19.0,,,18.0,13.0,16.0,17.533333333333335
48,Antoni Kłeczek,korekta,1,20.0,14.53,18.0,16.0,20.53,16.0,18.0,20.0,20.0,15.0,19.0,19.0,0.0,0.0,18.0,14.53,16.0,17.64
49,Kaito Kobayashi,punkty,1,21.0,20.0,20.0,21.0,21.0,18.0,20.0,19.0,12.0,16.0,22.0,22.0,18.0,20.0,17.0,16.0,16.0,18.764705882352942
49,Kaito Kobayashi,korekta,1,21.0,20.0,20.0,21.0,21.0,18.0,20.0,19.0,15.76,16.0,21.76,21.76,18.0,20.0,17.0,16.0,16.0,18.96
50,Mateusz Krzyżowski,punkty,1,22.0,13.0,22.0,19.0,22.0,23.0,22.0,18.0,15.0,17.0,17.0,16.0,23.0,18.0,20.0,16.0,19.0,18.941176470588236
50,Mateusz Krzyżowski,korekta,1,21.94,15.94,21.94,19.0,21.94,21.94,21.94,18.0,15.94,17.0,17.0,16.0,21.94,18.0,20.0,16.0,19.0,19.03
51,Shiori Kuwahara,punkty,1,22.0,16.0,25.0,24.0,24.0,22.0,23.0,25.0,16.0,21.0,23.0,20.0,22.0,24.0,23.0,18.0,21.0,21.705882352941178
51,Shiori Kuwahara,korekta,1,22.0,18.71,24.71,24.0,24.0,22.0,23.0,24.71,18.71,21.0,23.0,20.0,22.0,24.0,23.0,18.71,21.0,22.03
52,Shushi Kyomasu,punkty,1,24.0,15.0,19.0,19.0,20.0,17.0,19.0,19.0,21.0,19.0,21.0,18.0,18.0,20.0,23.0,17.0,20.0,19.352941176470587
52,Shushi Kyomasu,korekta,1,22.35,16.35,19.0,19.0,20.0,17.0,19.0,19.0,21.0,19.0,21.0,18.0,18.0,20.0,22.35,17.0,20.0,19.3
53,Hyo Lee,punkty,1,23.0,20.0,21.0,24.0,21.0,17.0,24.0,20.0,20.0,19.0,21.0,23.0,23.0,,19.0,22.0,20.0,21.0625
53,Hyo Lee,korekta,1,23.0,20.0,21.0,24.0,21.0,18.06,24.0,20.0,20.0,19.0,21.0,23.0,23.0,0.0,19.0,22.0,20.0,21.13
54,Hyuk Lee,punkty,1,20.0,21.0,20.0,25.0,21.0,16.0,22.0,19.0,22.0,22.0,22.0,21.0,22.0,,20.0,23.0,21.0,21.0625
54,Hyuk Lee,korekta,1,20.0,21.0,20.0,24.06,21.0,18.06,22.0,19.0,22.0,22.0,22.0,21.0,22.0,0.0,20.0,23.0,21.0,21.13
55,Kwanwook Lee,punkty,1,19.0,18.0,21.0,23.0,21.0,21.0,22.0,18.0,23.0,21.0,19.0,19.0,18.0,21.0,18.0,19.0,17.0,19.88235294117647
55,Kwanwook Lee,korekta,1,19.0,18.0,21.0,22.88,21.0,21.0,22.0,18.0,22.88,21.0,19.0,19.0,18.0,21.0,18.0,19.0,17.0,19.87
56,Luwangzi Li,punkty,1,19.0,17.0,19.0,21.0,24.0,15.0,20.0,17.0,19.0,22.0,18.0,23.0,19.0,17.0,22.0,16.0,17.0,19.11764705882353
56,Luwangzi Li,korekta,1,19.0,17.0,19.0,21.0,22.12,16.12,20.0,17.0,19.0,22.0,18.0,22.12,19.0,17.0,22.0,16.12,17.0,19.03
57,Tianyou Li,punkty,1,21.0,18.0,20.0,20.0,24.0,17.0,21.0,18.0,18.0,22.0,20.0,18.0,18.0,22.0,22.0,20.0,17.0,19.764705882352942
57,Tianyou Li,korekta,1,21.0,18.0,20.0,20.0,22.76,17.0,21.0,18.0,18.0,22.0,20.0,18.0,18.0,22.0,22.0,20.0,17.0,19.69
58,Xiaoxuan Li,punkty,1,15.0,19.0,20.0,17.0,24.0,21.0,23.0,22.0,17.0,23.0,20.0,,23.0,24.0,19.0,24.0,20.0,20.6875
58,Xiaoxuan Li,korekta,1,17.69,19.0,20.0,17.69,23.69,21.0,23.0,22.0,17.69,23.0,20.0,0.0,23.0,23.69,19.0,23.69,20.0,20.88
59,Zhexiang Li,punkty,1,19.0,19.0,21.0,17.0,20.0,23.0,23.0,15.0,19.0,21.0,21.0,21.0,24.0,19.0,16.0,18.0,21.0,19.823529411764707
59,Zhexiang Li,korekta,1,19.0,19.0,21.0,17.0,20.0,22.82,22.82,16.82,19.0,21.0,21.0,21.0,22.82,19.0,16.82,18.0,21.0,19.89
60,Hao-Wei Lin,punkty,1,10.0,10.0,19.0,22.0,21.0,17.0,19.0,14.0,17.0,18.0,19.0,16.0,17.0,19.0,17.0,18.0,15.0,16.941176470588236
60,Hao-Wei Lin,korekta,1,13.94,13.94,19.0,19.94,19.94,17.0,19.0,14.0,17.0,18.0,19.0,16.0,17.0,19.0,17.0,18.0,15.0,17.22
61,Pedro Lopez Salas,punkty,1,8.0,9.0,22.0,16.0,20.0,14.0,16.0,12.0,16.0,19.0,18.0,16.0,17.0,16.0,15.0,13.0,12.0,15.235294117647058
61,Pedro Lopez Salas,korekta,1,12.24,12.24,18.24,16.0,18.24,14.0,16.0,12.24,16.0,18.24,18.0,16.0,17.0,16.0,15.0,13.0,12.24,15.33
62,Eric Lu,punkty,1,22.0,19.0,23.0,24.0,23.0,,22.0,21.0,17.0,21.0,24.0,,24.0,22.0,18.0,22.0,23.0,21.666666666666668
62,Eric Lu,korekta,1,22.0,19.0,23.0,24.0,23.0,0.0,22.0,21.0,18.67,21.0,24.0,0.0,24.0,22.0,18.67,22.0,23.0,21.82
63,Philipp Lynov,punkty,1,20.0,20.0,23.0,20.0,23.0,20.0,23.0,23.0,20.0,21.0,24.0,19.0,22.0,22.0,19.0,19.0,19.0,21.0
63,Philipp Lynov,korekta,1,20.0,20.0,23.0,20.0,23.0,20.0,23.0,23.0,20.0,21.0,24.0,19.0,22.0,22.0,19.0,19.0,19.0,21.0
64,Tianyao Lyu,punkty,1,20.0,16.0,23.0,22.0,22.0,23.0,23.0,19.0,24.0,23.0,22.0,23.0,24.0,24.0,,19.0,23.0,21.875
64,Tianyao Lyu,korekta,1,20.0,18.88,23.0,22.0,22.0,23.0,23.0,19.0,24.0,23.0,22.0,23.0,24.0,24.0,0.0,19.0,23.0,22.06
65,Tiankun Ma,punkty,1,19.0,18.0,24.0,25.0,22.0,19.0,18.0,20.0,17.0,20.0,23.0,20.0,18.0,18.0,19.0,16.0,18.0,19.647058823529413
65,Tiankun Ma,korekta,1,19.0,18.0,22.65,22.65,22.0,19.0,18.0,20.0,17.0,20.0,22.65,20.0,18.0,18.0,19.0,16.65,18.0,19.45
66,Xuanyi Mao,punkty,1,23.0,20.0,24.0,24.0,20.0,17.0,21.0,18.0,18.0,18.0,17.0,18.0,20.0,15.0,15.0,15.0,16.0,18.764705882352942
66,Xuanyi Mao,korekta,1,21.76,20.0,21.76,21.76,20.0,17.0,21.0,18.0,18.0,18.0,17.0,18.0,20.0,15.76,15.76,15.76,16.0,18.56
67,Ruben Micieli,punkty,1,23.0,17.0,22.0,21.0,24.0,23.0,23.0,19.0,19.0,20.0,19.0,21.0,21.0,15.0,21.0,21.0,19.0,20.470588235294116
67,Ruben Micieli,korekta,1,23.0,17.47,22.0,21.0,23.47,23.0,23.0,19.0,19.0,20.0,19.0,21.0,21.0,17.47,21.0,21.0,19.0,20.61
68,Nathalia Milstein,punkty,1,24.0,21.0,22.0,22.0,23.0,18.0,24.0,25.0,16.0,17.0,23.0,21.0,19.0,19.0,21.0,24.0,20.0,21.11764705882353
68,Nathalia Milstein,korekta,1,24.0,21.0,22.0,22.0,23.0,18.12,24.0,24.12,18.12,18.12,23.0,21.0,19.0,19.0,21.0,24.0,20.0,21.26
69,Yumeka Nakagawa,punkty,1,17.0,16.0,21.0,22.0,23.0,17.0,23.0,17.0,17.0,19.0,22.0,24.0,20.0,22.0,21.0,18.0,18.0,19.823529411764707
69,Yumeka Nakagawa,korekta,1,17.0,16.82,21.0,22.0,22.82,17.0,22.82,17.0,17.0,19.0,22.0,22.82,20.0,22.0,21.0,18.0,18.0,19.78
70,Yulia Nakashima,punkty,1,17.0,18.0,20.0,17.0,20.0,17.0,19.0,16.0,16.0,15.0,20.0,19.0,18.0,14.0,18.0,16.0,18.0,17.529411764705884
70,Yulia Nakashima,korekta,1,17.0,18.0,20.0,17.0,20.0,17.0,19.0,16.0,16.0,15.0,20.0,19.0,18.0,14.53,18.0,16.0,18.0,17.56
71,Viet Trung Nguyen,punkty,1,17.0,20.0,22.0,18.0,21.0,,18.0,14.0,20.0,,21.0,22.0,19.0,20.0,,20.0,17.0,19.214285714285715
71,Viet Trung Nguyen,korekta,1,17.0,20.0,22.0,18.0,21.0,0.0,18.0,16.21,20.0,0.0,21.0,22.0,19.0,20.0,0.0,20.0,17.0,19.37
72,Yuya Nishimoto,punkty,1,18.0,16.0,21.0,20.0,21.0,16.0,19.0,13.0,20.0,16.0,24.0,20.0,22.0,16.0,18.0,21.0,,18.8125
72,Yuya Nishimoto,korekta,1,18.0,16.0,21.0,20.0,21.0,16.0,19.0,15.81,20.0,16.0,21.81,20.0,21.81,16.0,18.0,21.0,0.0,18.84
73,Vincent Ong,punkty,1,21.0,11.0,22.0,19.0,24.0,24.0,23.0,24.0,24.0,25.0,24.0,24.0,18.0,23.0,22.0,17.0,21.0,21.529411764705884
73,Vincent Ong,korekta,1,21.0,18.53,22.0,19.0,24.0,24.0,23.0,24.0,24.0,24.53,24.0,24.0,18.53,23.0,22.0,18.53,21.0,22.07
74,Arisa Onoda,punkty,1,17.0,14.0,18.0,17.0,21.0,,20.0,13.0,14.0,20.0,19.0,19.0,18.0,18.0,16.0,19.0,17.0,17.5
74,Arisa Onoda,korekta,1,17.0,14.5,18.0,17.0,20.5,0.0,20.0,14.5,14.5,20.0,19.0,19.0,18.0,18.0,16.0,19.0,17.0,17.63
75,Piotr Pawlak,punkty,1,24.0,24.0,25.0,22.0,21.0,17.0,24.0,19.0,12.0,15.0,20.0,23.0,23.0,19.0,19.0,24.0,19.0,20.58823529411765
75,Piotr Pawlak,korekta,1,23.59,23.59,23.59,22.0,21.0,17.59,23.59,19.0,17.59,17.59,20.0,23.0,23.0,19.0,19.0,23.59,19.0,20.92
